Catch;ReactionTime;C_Visual;C_Auditory;C_Tactile;Date;Username
1;2.03;1;0;1;01-02-2023;prova
1;3.03;1;0;1;02-02-2023;j
0;0;1;0;1;03-02-2023;felice
0;0;1;0;1;09-02-2023;prova
1;1.59;1;0;1;10-02-2023;prova
1;1.59;1;0;1;10-02-2023;prova
0;0;1;0;1;01-03-2023;prova
1;2.03;1;0;1;04-03-2023;prova
1;3.03;1;0;1;25-03-2023;j
0;0;1;0;1;25-03-2023;prova
1;2.00;1;0;1;26-03-2023;j
1;1,661;1;1;0;2023-05-09;asd
1;1,666;0;1;0;2023-05-09;asd
1;2,599;0;1;0;2023-05-09;asd
1;1,105;1;1;0;2023-05-09;asd
1;2,748;1;0;0;2023-05-09;asd
1;3,863;1;0;0;2023-05-09;asd
1;1,402;1;0;0;2023-05-09;asd
1;1,340;1;0;0;2023-05-09;asd
1;1,404;1;0;0;2023-05-09;asd
1;3,031;0;1;0;2023-05-09;asd
1;2,587;0;1;0;2023-05-09;asd
1;0;0;0;1;2023-05-09;asd
1;1,722;1;0;0;2023-05-09;asd
1;1,646;0;1;0;2023-05-09;asd
1;0;0;0;1;2023-05-09;asd
1;0;1;0;1;2023-05-09;asd
1;2,591;0;0;1;2023-05-09;asd
1;2,028;0;0;1;2023-05-09;asd
1;0;0;0;1;2023-05-09;asd
1;0,991;0;0;1;2023-05-09;asd
1;0;1;0;1;2023-05-09;asd
1;4,742;1;0;0;2023-05-09;asd
1;4,560;1;0;1;2023-05-09;asd
1;3,038;1;0;0;2023-05-09;asd
1;3,072;1;0;0;2023-05-09;asd
0;0;0;1;0;2023-05-16;asd
0;0;0;1;0;2023-05-16;
1;1.028;0;1;0;2023-05-16;
1;1.316;0;2;0;2023-05-16;
1;0.417;0;1;0;2023-05-16;
1;0.638;1;0;0;2023-05-16;asd
1;1.525;0;2;0;2023-05-16;asd
1;0.457;1;0;0;2023-05-16;
1;0.382;1;0;0;2023-05-16;
1;1.256;0;1;0;2023-05-16;
1;0.911;1;0;0;2023-05-16;
0;0;1;1;0;2023-05-17;asd
1;1.623;1;0;0;2023-05-17;asd
1;1.677;1;0;0;2023-05-17;asd
0;0;0;1;0;2023-05-17;asd
1;1.84;0;1;0;2023-05-17;asd
1;0.0;0;0;1;2023-05-17;asd
0;0;0;1;0;2023-05-17;asd
1;1.776;0;0;1;2023-05-17;asd
1;1.798;1;0;0;2023-05-17;asd
